company_name,product_name,extract_name,dmf_no,dmf_status,dmf_submit_date,dmf_country,cep_certificate_number,cep_issue_date,cep_status,cep_end_date,cep_type,written_confirmation_no,wc_issue_date,valid_till,product_name_wc
JOHNSON MATTHEY PHARMACEUTICAL MATERIALS,D L-2(DIFLUOROMETHYL)ORNITHINE MONOHYDROCHLORIDE MONOHYDRATE,Eflornithine Hydrochloride,14365,InActive,16/08/1999,United Kingdom,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,AMINO ACID MIXTURES I AS PRODUCED BY REXIM SA DIV DEGUSSA HAM FRANCE,AMINO ACID,5017,InActive,19/05/1983,Switzerland,,,,,,,,,
JOHNSON MATTHEY INC PHARMACEUTICAL MATERIALS,AMPHETAMINE ASPARTATE,AMPHETAMINE ASPARTATE,15088,InActive,13/10/2000,United Kingdom,,,,,,,,,
DR REDDYS LABORATORIES LTD,SALMETEROL XINAFOATE,Salmeterol Xinafoate,22586,InActive,28/02/2009,India,,,,,,,,,
DR REDDYS LABORATORIES LTD,O-DESMETHYL VENLAFAXINE SUCCINATE (AMORPHOUS),Venlafaxine,22634,InActive,19/03/2009,India,,,,,,,,,
DR REDDYS LABORATORIES LTD,O-DESMETHYL VENLAFAXINE,Venlafaxine,25186,InActive,22/08/2011,India,,,,,,,,,
NAFTONE INC,6-AMINOCAPROIC ACID,AMINOCAPROIC ACID,1039,InActive,09/03/1967,Gabon,,,,,,,,,
DR REDDYS LABORATORIES LTD,FOSPHENYTOIN SODIUM,Fosphenytoin Sodium,20511,InActive,07/05/2007,India,,,,,,,,,
DSM PHARMA CHEMICALS NETHERLANDS BV,ETHYL 4-PHENYL-2-OXO-BUTANOATE (FOBES),ETHYL 4-PHENYL-2-OXO-BUTANOATE,9729,InActive,17/06/1992,Netherlands,,,,,,,,,
LEBSA LABORATORIOS ESPINOSY BOFILL SA,OXODIPINE,OXODIPINE,8909,InActive,31/12/1990,Spain,,,,,,,,,
ORION CORP FARMOS CHEMICAL PLANT,DETOMIDINE HYDROCHLORIDE,DETOMIDINE HYDROCHLORIDE,5380,InActive,11/05/1984,Finland,,,,,,,,,
ORION CORP FERMION,"TRIOXSALEN, USP XX",TRIOXSALEN,5309,InActive,16/02/1984,Finland,,,,,,,,,
OREX PHARMA PVT LTD,TRIMETHOPRIM,TRIMETHOPRIM,7875,InActive,23/01/1989,India,,,,,,,,,
ORION CORP LTD,TRIAZOLAM,TRIAZOLAM,9200,InActive,26/06/1991,Finland,,,,,,,,,
FINE CHEMICALS CORP,TRIAZOLAM,TRIAZOLAM,9342,InActive,31/08/1991,South Africa,,,,,,,,,
INTERQUIM SA,DOTARIZINE,DOTARIZINE,11210,InActive,23/11/1994,Spain,,,,,,,,,
PCAS,MIFEPRISTONE,MIFEPRISTONE,20504,InActive,01/05/2007,France,,,,,,,,,
CRYSTAL PHARMA SAU,"MIFEPRISTONE, MICRONIZED",MIFEPRISTONE,20949,InActive,17/10/2007,Spain,,,,,,,,,
DELMAR CHEMICALS INC,TOLBUTAMIDE (COARSE),TOLBUTAMIDE,2840,InActive,04/02/1977,Canada,,,,,,,,,
DELMAR CHEMICALS INC,TOLBUTAMIDE (FINE),TOLBUTAMIDE,2841,InActive,04/02/1977,Canada,,,,,,,,,
PHARMACEUTICAL WORKS POLPHARMA SA,TOLBUTAMIDE,TOLBUTAMIDE,10388,InActive,30/07/1993,Poland,,,,,,,,,
PCAS,CICLETANINE,CICLETANINE,19482,InActive,30/05/2006,France,,,,,,,,,
EXCELLA GMBH,RALOXIFENE HYDROCHLORIDE,RALOXIFENE HYDROCHLORIDE,17415,InActive,24/05/2004,Germany,R1-CEP 2014-054 - Rev 01,31/03/2023,Valid,,Chemical,,,,
WISCONSIN ANALYTICAL AND RESEARCH SERVICES LTD,CI-925 AND CI-929 AS DETERMINDE IN HUMAN PLASMA,CI-925/MOEXIPRIL HYDROCHLORIDE,7388,InActive,18/03/1988,Gabon,,,,,,,,,
PCAS,MOEXIPRIL HYDROCHLORIDE,MOEXIPRIL HYDROCHLORIDE,9942,InActive,06/11/1992,France,,,,,,,,,
JOHNSON MATTHEY PHARMA SERVICES,TALAPORFIN SODIUM,talaporfin sodium,18391,InActive,31/05/2005,U.S.A,,,,,,,,,
DR REDDYS LABORATORIES LTD,TRANDOLAPRIL,Trandolapril,18467,InActive,29/06/2005,India,,,,,,,,,
ZAKLADY FARMACEUTYCZNE POLPHARMA SA,TINIDAZOLE,Tinidazole,10350,InActive,23/06/1993,Poland,,,,,,,,,
COMPANHIA INDUSTRIAL PRODUTORA DE ANTIBIOTICOS SARL,TETRACYCLINE PHOSPHATE,TETRACYCLINE PHOSPHATE,14243,InActive,01/07/1999,Portugal,,,,,,,,,
CLARIANT LSM ITALIA,GAR-936,GAR-936,15640,InActive,25/09/2001,Switzerland,,,,,,,,,
HOUBA INC,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,13202,InActive,30/04/1998,Gabon,,,,,,,,,
PFIZER INC,TERRAMYCIN-HYGROMYCIN PREMIX,TERRAMYCIN,314,InActive,24/10/1958,U.S.A,,,,,,,,,
FINE CHEMICALS CORP,MINOCYCLINE HYDROCHLORIDE,MINOCYCLINE HYDROCHLORIDE,7199,InActive,01/07/1987,South Africa,,,,,,,,,
COMPANHIA INDUSTRIAL PRODUTORA DE ANTIBIOTICOS SARL,CHLORTETRACYCLINE HYDROCHLORIDE,CHLORTETRACYCLINE HYDROCHLORIDE,13391,InActive,01/09/1998,Portugal,,,,,,,,,
DR REDDYS LABORATORIES LTD,MELOXICAM,Meloxicam,17366,InActive,10/05/2004,India,,,,,,,,,
MEDICHEM SA,PIROXICAM,Piroxicam,8231,InActive,03/10/1989,Spain,,,,,,,,,
CHEMICAL PHARMACEUTICAL RESEARCH INSTITUTE NIHFI LTD,PIROXICAM,PIROXICAM,10695,InActive,15/12/1993,Gabon,,,,,,,,,
COMPANHIA INDUSTRIAL PRODUTORA DE ANTIBIOTICOS SARL,OXYTETRACYCLINE,OXYTETRACYCLINE,13200,InActive,30/04/1998,Portugal,,,,,,,,,
CHEMWERTH INC,DOXYCYCLINE MONOHYDRATE,DOXYCYCLINE,7281,InActive,05/01/1988,U.S.A,,,,,,,,,
MACFARLAN SMITH LTD,MORPHINE SULFATE,MORPHINE SULFATE,8328,InActive,13/12/1989,United Kingdom,,,,,,,,,
ELAN PHARMA LTD,MORPHINE SULFATE,MORPHINE SULFATE,12808,InActive,23/12/1997,Gabon,,,,,,,,,
JOHNSON MATTHEY PHARMACEUTICAL MATERIALS,MORPHINE TECHNICAL ALKALOID,MORPHINE,24291,InActive,28/09/2010,United Kingdom,,,,,,,,,
SANOFI AVENTIS CHIMIE,NALOXONE HCL,NALOXONE HCL,4652,InActive,10/08/1982,France,,,,,,,,,
DR REDDYS LABORATORIES LTD,DEXTROMETHORPHAN HYDROBROMIDE,Dextromethorphan Hydrobromide,12467,InActive,15/04/1997,India,,,,,,,,,
DR REDDYS LABORATORIES LTD,DEXTROMETHORPHAN HYDROBROMIDE USP,Dextromethorphan Hydrobromide,15560,InActive,31/07/2001,India,,,,,,,,,
DR REDDYS LABORATORIES LTD,"DEXTROMETHORPHAN, USP",Dextromethorphan Hydrobromide,15561,InActive,31/07/2001,India,,,,,,,,,
DR REDDYS LABORATORIES LTD,"ENALAPRILAT, USP",ENALAPRILAT,13835,InActive,09/11/1998,India,,,,,,,,,
EXCELLA GMBH,ENALAPRILAT,ENALAPRILAT,13904,InActive,17/12/1998,Germany,,,,,,,,,
NORAMCO INC,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,6318,InActive,04/03/1986,U.S.A,R0-CEP 2017-263 - Rev 01,17/02/2021,Withdrawn by Holder,25/08/2022,Chemical,,,,
NORAMCO INC,OXYCODONE BASE DRUG SUBSTANCE,OXYCODONE BASE,16732,InActive,01/08/2003,U.S.A,,,,,,,,,
JOHNSON MATTHEY PHARMACEUTICAL MATERIALS,OXYCODONE HYDROCHLORIDE (MS PROCESS),OXYCODONE HYDROCHLORIDE,20729,InActive,16/07/2007,United Kingdom,,,,,,,,,
NORAMCO LLC,OXYCODONE HYDROCHLORIDE USP (PROCESS II),Oxycodone Hydrochloride,31377,InActive,16/02/2018,U.S.A,,,,,,,,,
JOHNSON MATTHEY PHARMACEUTICAL MATERIALS,HYDROMORPHONE HCL,HYDROMORPHONE HCL,12098,InActive,20/08/1996,United Kingdom,R0-CEP 2016-118 - Rev 00,14/06/2017,Withdrawn by Holder,14/06/2022,Chemical,,,,
NORAMCO LLC,HYDROMORPHONE HYDROCHLORIDE USP,Hydromorphone Hydrochloride,31994,InActive,03/01/2020,U.S.A,,,,,,,,,
JAPAN CHEMICAL RESEARCH CO LTD,UROKINASE (BULK),UROKINASE,7347,InActive,17/02/1988,Gabon,,,,,,,,,
CONCORD BIOTECH LTD,SIMVASTATIN USP,SIMVASTATIN,19044,InActive,13/12/2005,India,R1-CEP 2002-207 - Rev 01,20/03/2009,Withdrawn by Holder,15/09/2016,Chemical,,,,
DR REDDYS LABORATORIES LTD,SIMVASTATIN USP,Simvastatin,21265,InActive,24/01/2008,India,,,,,,,,,
DR REDDYS LABORATORIES LTD,THALIDOMIDE,THALIDOMIDE,22678,InActive,31/03/2009,India,,,,,,,,,
ORION CORP LTD,TERFENADINE,TERFENADINE,7811,InActive,08/12/1988,Finland,,,,,,,,,
MEDICHEM SA,ENALAPRIL MALEATE,Enalapril Maleate,13055,Active,29/06/1998,Spain,R0-CEP 2002-179 - Rev 01,13/06/2008,Expired,28/01/2010,Chemical,,,,
PHARMACEUTICAL WORKS POLPHARMA SA,ENALAPRIL MALEATE,ENALAPRIL MALEATE,18950,InActive,10/11/2005,Poland,,,,,,,,,
PCR INC,FTORAFUR,FTORAFUR,2784,InActive,04/11/1976,Gabon,,,,,,,,,
SYNTHO RIFA PVT LTD,RIFAMPIN,RIFAMPIN,7603,InActive,28/07/1988,U.S.A,,,,,,,,,
DR REDDYS LABORATORIES LTD,TAMSULOSIN HYDROCHLORIDE,Tamsulosin HCl,17247,InActive,19/03/2004,India,R0-CEP 2009-111 - Rev 00,26/10/2010,Withdrawn by Holder,10/04/2015,Chemical,,,,
RAGACTIVES SL,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,19877,InActive,17/10/2006,Spain,,,,,,,,,
PCAS,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,20290,InActive,20/02/2007,France,,,,,,,,,
MEDICHEM SA,TAMSULOSIN HYDROCHLORIDE (MED-201750/E),Tamsulosin HCl,23145,Active,30/09/2009,Spain,,,,,,,,,
EVONIK TECHNOCHEMIE GMBH,LISINOPRIL (TFA)-ETHYLESTER,LISINOPRIL,9766,InActive,23/06/1992,Germany,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,LISINOPRIL (TFA)-ETHYLESTER,LISINOPRIL,9767,InActive,23/06/1992,Switzerland,,,,,,,,,
EVONIK CORP,LISINOPRIL CRUDE,LISINOPRIL,14536,InActive,16/11/1999,Germany,,,,,,,,,
SANOFI SYNTHELABO INC,NALBUPHINE HYDROCHLORIDE,NALBUPHINE HYDROCHLORIDE,6279,InActive,21/04/1986,France,,,,,,,,,
NORAMCO INC,SUPROFEN,SUPROFEN,6355,InActive,15/05/1986,U.S.A,,,,,,,,,
REGENT BIO SCIENCE AND TECHNOLOGY CO LTD,SODIUM CHONDROITIN SULFATE,Chondroitin Sulfate Sodium Salt,18928,InActive,01/11/2005,Gabon,R1-CEP 2000-327 - Rev 01,21/02/2007,Withdrawn by Holder,07/11/2011,TSE,,,,
FERMION OY,SULPHINPYRAZONE USP 80,SULPHINPYRAZONE,4211,InActive,12/06/1981,Finland,,,,,,,,,
EVONIK CORP,L-LYSINE.ACETATE,Lysine Acetate,3906,InActive,05/08/1980,Germany,,,,,,,,,
SHANGHAI NO 2 PHARMACEUTICAL FACTORY,SULFATHIAZOLE,SULFATHIAZOLE,8387,InActive,23/01/1990,Gabon,,,,,,,,,
PHARMACEUTICAL WORKS POLPHARMA SA,SULFATHIAZOLE,SULFATHIAZOLE,8643,InActive,13/07/1990,Poland,,,,,,,,,
PHARMACEUTICAL WORKS POLPHARMA SA,SULFAQUINOXALINE,SULFAQUINOXALINE,8642,InActive,13/07/1990,Poland,,,,,,,,,
FINORGA,TOLRESTAT,TOLRESTA,6004,InActive,30/08/1985,France,,,,,,,,,
PHARMACEUTICAL WORKS POLPHARMA SA,SULFANILAMIDE,SULFANILAMIDE,8638,InActive,13/07/1990,Poland,,,,,,,,,
LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,SULFAMETHAZINE,SULFAMETHAZINE,691,InActive,04/10/1963,Gabon,,,,,,,,,
CIECH POLFA,SULFAMETHAZINE,SULFAMETHAZINE,2386,InActive,03/01/1975,Gabon,,,,,,,,,
HOPE CO,BULK SULFAMETHAZINE AND SODIUM SULFAMETHAZINE,SULFAMETHAZINE,4046,InActive,03/10/1980,Gabon,,,,,,,,,
ACF CHEMIEFARMA NV,SULFADIMIDE PH EUR/SULFAMETHAZINE USP,SULFAMETHAZINE,5242,InActive,24/01/1984,Gabon,,,,,,,,,
GUANGDONG PHARMACEUTICAL FACTORY,SULFAMETHAZINE,SULFAMETHAZINE,7280,InActive,04/01/1988,Gabon,,,,,,,,,
CHEMAPOL LTD,SULFAMETHAZINE,SULFAMETHAZINE,8294,InActive,16/11/1989,Gabon,,,,,,,,,
ANTIBIOTIC CO,LOVASTATIN,LOVASTATIN,11336,InActive,02/12/1996,Spain,,,,,,,,,
CHEMWERTH INC,LOVASTAIN (NON-STERILE BULK DRUG SUBSTANCE),Lovastatine,17821,InActive,01/11/2004,U.S.A,,,,,,,,,
PHARMACEUTICAL WORKS POLPHARMA SA,SULFADIMETHOXINE,SULFADIMETHOXINE,8641,InActive,13/07/1990,Poland,,,,,,,,,
SANOFI CHIMIE,"CYANOCOBALAMIN PH. EUR. USP, JP",CYANOCOBALAMIN,5138,InActive,27/10/1983,France,,,,,,,,,
FARMABOIS,DESOXIMETHASONE,DESOXIMETHASONE,7498,InActive,27/05/1988,Italy,,,,,,,,,
LINSON LTD,DESONIDE,DESONIDE,1671,InActive,19/01/1971,Gabon,,,,,,,,,
ASPEN OSS BV,DESONIDE,DESONIDE,3939,InActive,11/09/1980,Netherlands,,,,,,,,,
DUMEX ALPHARMA AS,COLISTIN SULFATE MONOCOMPONENT,COLISTIN SULFATE,14424,InActive,21/10/1999,Gabon,,,,,,,,,
EXCELLA GMBH,HALOPERIDOL DECANOATE,HALOPERIDOL DECANOATE,19197,InActive,21/02/2006,Germany,,,,,,,,,
DR REDDYS LABORATORIES LTD,TROSPIUM CHLORIDE,Trospium Chloride,22661,InActive,25/03/2009,India,,,,,,,,,
ZACH SYSTEM SPA,LEVETIRACETAM,LEVETIRACETAM,21747,InActive,27/06/2008,Gabon,,,,,,,,,
HEXAGON LABORATORIES INC,PYRILAMINE MALEATE,PYRILAMINE MALEATE,5348,InActive,14/03/1984,Gabon,,,,,,,,,
NORAMCO DELAWARE INC,CODEINE,Codeine,10162,InActive,24/03/1993,U.S.A,,,,,,,,,
SANOFI CHIMIE,LEVOMEPROMAZINE MALEATE,Levomepromazine Maleate,16744,InActive,05/08/2003,France,,,,,,,,,
PHARMAZELL DENMARK AS,TERBINAFINE AS TERBINAFINE HYDROCHLORIDE,TERBINAFINE HYDROCHLORIDE,24112,InActive,31/08/2010,India,,,,,,,,,
PORTON FINE CHEMICALS LTD,ROSUVASTATIN CALCIUM,ROSUVASTATIN CALCIUM,25050,InActive,02/06/2011,China,,,,,,WC-0043A3,21/01/2020,04/06/2022,Rosuvastatin Calcium
PHARMACEUTICAL WORKS POLPHARMA SA,ROSUVASTATIN CALCIUM,ROSUVASTATIN CALCIUM,25117,InActive,07/07/2011,Poland,,,,,,,,,
SKYEPHARMA PRODUCTION SAS,"NK-104 TABLETS, 4 AND 8 MG",Pitavastatin Calcium,15978,InActive,13/05/2002,France,,,,,,,,,
CHEMICAL PHARMACEUTICAL RESEARCH INSTITUTE NIHFI LTD,KETOTIFEN HYDROGEN,KETOTIFEN FUMARATE,10676,InActive,15/12/1993,Gabon,,,,,,,,,
CHEMWERTH INC,KETOTIFEN HYDROGEN FUMARATE,KETOTIFEN HYDROGEN FUMARATE,20661,InActive,02/08/2007,U.S.A,,,,,,,,,
CHINOIN PHARMACEUTCIAL AND CHEMICAL WORKS CO LTD,"MISOPROSTOL DISPERSION, HPMC 1%",MISOPROSTOL,20847,InActive,10/09/2007,France,R1-CEP 2011-333 - Rev 00,17/05/2018,Withdrawn by Holder,13/04/2021,Chemical,,,,
CHINOIN PHARMACEUTICAL AND CHEMICAL WORKS PRIVATE CO LTD,MISOPROSTOL,MISOPROSTOL,23249,InActive,09/11/2009,France,,,,,,,,,
SANOFI CHIMIE,TRIMEPRIMINE MALEATE,Trimipramine Maleate,831,InActive,21/08/1964,France,R0-CEP 2003-016 - Rev 01,04/02/2005,Withdrawn by Holder,10/10/2007,Chemical,,,,
PCAS,TRIMIPRAMINE MALEATE,TRIMIPRAMINE MALEATE,6523,InActive,06/08/1986,France,,,,,,,,,
SANOFI CHIMIE,TRIMIPRAMINE MALEATE,TRIMIPRAMINE MALEATE,25106,InActive,06/07/2011,France,,,,,,,,,
ELAN DRUG DELIVERY INC,N1486 NANOCRYSTAL(R) TABLET CORES,Lathyrol,17365,InActive,07/05/2004,Gabon,,,,,,,,,
CEDARBURG PHARMACEUTICALS LLC,DOXERCALCIFEROL,doxercalciferol,15397,InActive,19/04/2001,U.S.A,,,,,,,,,
EXCELLA GMBH,MYCOPHENOLATE MOFETIL,MYCOPHENOLATE MOFETIL,20948,InActive,15/10/2007,Germany,R0-CEP 2008-276 - Rev 00,08/09/2010,Withdrawn by Holder,01/12/2010,Chemical and TSE,,,,
DSM ANTI INFECTIVES BV,MYCOPHENOLATE MOFETIL,Mycophenolate Mofetil,21232,InActive,16/01/2008,Netherlands,,,,,,,,,
IRISH FINE CHEMICALS LTD,DEXCHLORPHENIRAMINE MALEATE,DEXCHLORPHENIRAMINE MALEATE,5086,InActive,29/07/1983,Gabon,,,,,,,,,
HEXAGON LABORATORIES INC,DEXCHLORPHENIRAMINE MALEATE,DEXCHLORPHENIRAMINE MALEATE,6922,InActive,10/04/1987,Gabon,,,,,,,,,
HEXAGON LABORATORIES INC,CHLORPHENIRAMINE MALEATE USP,CHLORPHENIRAMINE MALEATE,6305,InActive,28/04/1986,Gabon,,,,,,,,,
HEXAGON LABORATORIES INC,BROMPHENIRAMINE MALEATE USP,BROMPHENIRAMINE MALEATE,6571,InActive,28/08/1986,Gabon,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,TIMOLOL MALEATE,TIMOLOL MALEATE,12234,InActive,22/11/1996,Switzerland,R1-CEP 2001-296 - Rev 05,05/07/2023,Valid,,Chemical,,,,
PHENCHEM INDUSTRIES LTD,PROCHLORPERAZINE MALEATE,PROCHLORPERAZINE MALEATE,2593,InActive,23/01/1976,Gabon,,,,,,,,,
FINE CHEMICALS CORP PTY LTD,PROCHLORPERAZINE DIMALEATE,Prochlorperazine Maleate,7598,InActive,29/07/1988,South Africa,,,,,,,,,
INKE SA,QUETIAPINE HEMIFUMARATE,QUETIAPINE HEMIFUMARATE,19563,InActive,16/06/2006,Spain,,,,,,WC-0067,14/02/2020,07/07/2022,Quetiapine Fumarate (IH)
FARMAK AS,QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,20854,InActive,17/09/2007,Czech Republic,,,,,,,,,
FARMABIOS SRL,BUDESONIDE,Budesonide,13013,InActive,05/06/1998,Italy,R1-CEP 2016-043 - Rev 01,10/02/2023,Valid,,Chemical,,,,
FARMABIOS SPA,BUDESONIDE,BUDESONIDE,15298,InActive,16/03/2001,Italy,,,,,,,,,
ELAN PHARMACEUTICAL TECHNOLOGIES,BUDESONIDE NANOCRISTAL COLLOIDAL DISPERSION,BUDESONIDE,15662,InActive,12/10/2001,Gabon,,,,,,,,,
CELL PRODUCTS INC,AMPHOTERICIN B,AMPHOTERICIN B,13646,InActive,01/09/1998,Gabon,,,,,,,,,
CELL PRODUCTS INC,AMPHOTERICIN B,AMPHOTERICIN B,13648,InActive,01/09/1998,Gabon,,,,,,,,,
EMERY IND INC,SPECS & COMPOSITION EMERSOL 315-LINLEIC ACID,Linoleic acid,2572,InActive,13/11/1975,Malaysia,,,,,,,,,
CHINOIN PHARMACEUTICAL AND CHEMICAL WORKS PRIVATE CO LTD,DINOPROST,DINOPROST,23248,InActive,09/11/2009,France,,,,,,,,,
CAYMAN PHARMA SRO,PROSTAGLANDIN E2 (DINOPROSTONE),PROSTAGLANDIN E2,10621,InActive,15/12/1993,Czech Republic,,,,,,,,,
PHARM ECO LABORATORIES INC,"2,6-DICHLORO-N-(4,5-DIHYDRO-IH-IMIDAZOL-2-YL)-1,4-BEZENEDIAMINE MONO",p-Aminoclonidine hydrochloride,6845,InActive,26/02/1987,U.S.A,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,L-HISTIDINE HCL MONOHYDRATE,L-HISTIDINE HCL MONOHYDRATE,3888,InActive,03/07/1980,Switzerland,,,,,,,,,
DR REDDYS LABORATORIES LTD,SODIUM BENZOATE USP,Sodium Benzoate,31518,InActive,23/03/2017,India,,,,,,,,,
DSM PHARMA CHEMICALS SOUTH HAVEN INC,SALICYLSALICYLIC ACID,SALICYLSALICYLIC ACID,5540,InActive,12/10/1984,Netherlands,,,,,,,,,
FINORGA SAS,PHENYLOXYCARBONYL-(L)-VALINE METHYL ESTER,Methyl N-Phenoxycarbonyl-L-Valinate,11419,InActive,30/03/1995,France,,,,,,,,,
INDUSTRIAS QUIMICAS KIMITSU CHILE Y CIA LTDA,"SODIUM ALGINATE, ALGINIC ACID",Sodium Alginate,12885,InActive,04/02/1998,India,,,,,,,,,
DR REDDYS LABORATORIES LTD,RISPERIDONE EP,RISPERIDONE,16023,InActive,20/06/2002,India,R1-CEP 2009-243 - Rev 03,17/07/2023,Valid,,Chemical,,,,
MEDICHEM SA,RISPERIDONE,Risperidone,16516,InActive,01/04/2003,Spain,,,,,,,,,
VALDEPHARM,STERILE RISPERIDONE,Risperidone,28753,Active,19/01/2017,France,,,,,,,,,
DR REDDYS LABORATORIES LTD,RILUZOLE,Riluzol,23569,InActive,24/02/2010,India,,,,,,,,,
MEDICHEM SA,DICLOFENAC SODIUM,Diclofenac Sodium,8916,InActive,03/01/1991,Spain,,,,,,,,,
IROTEC LABORATORIES,DICLOFENAC SODIUM,DICLOFENAC SODIUM,10360,InActive,14/07/1993,Gabon,,,,,,,,,
EXCELLA GMBH,DICLOFENAC SODIUM,DICLOFENAC SODIUM,15181,InActive,04/12/2000,Germany,,,,,,,,,
HEXAGON LABORATORIES INC,BEPRIDIL HCL,BEPRIDIL HCL,4934,InActive,25/03/1983,Gabon,,,,,,,,,
DR REDDYS LABORATORIES LTD,"2,6-DIISOPROPYLPHENOL","2, 6-Diisopropylphenol",10829,InActive,22/03/1994,India,R1-CEP 2001-188 - Rev 03,09/07/2014,Withdrawn by Holder,28/05/2018,Chemical,,,,
PORTON FINE CHEMICALS LTD,PROPOFOL USP,PROPOFOL,11406,InActive,29/03/1995,China,,,,,,,,,
ORCHIMIE SA (PRODUITS CHIMIQUES ET BIOCHIMIQUES),PROCHLORPERAZINE,PROCHLORPERAZINE,5803,InActive,23/04/1985,Gabon,,,,,,,,,
MEDICHEM SA,PROBUCOL,Probucol,7579,InActive,18/07/1988,Spain,,,,,,,,,
SCM CORP,ENCAPSULATED POTASSIUM CHLORIDE DURKOTE KCL 150-92,POTASSIUM CHLORIDE,4835,InActive,25/02/1983,Gabon,,,,,,,,,
HEICO CHEMICALS DIV WHITTAKER CORP,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,5221,InActive,29/12/1983,Gabon,,,,,,,,,
KALI UND SALZ AG,POTASSIUM CHLORIDE USP PRODUCED IN THE HERINGEN (GERMANY) PLANT.,POTASSIUM CHLORIDE,5548,InActive,26/09/1984,Gabon,,,,,,,,,
ALFRED BENZON AS,KALINORM CONTROLLED RELEASE TALBETS 750MG.,KALINORM,5895,InActive,19/04/1985,Gabon,,,,,,,,,
TRANSPHARMA LTD,ENCAPSULATED POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,7357,InActive,02/03/1988,Gabon,,,,,,,,,
ELAN PHARMACEUTICAL RESEARCH CORP,BICIFADINE TABLETS,BICIFADINE,15360,InActive,30/03/2001,Gabon,,,,,,,,,
ORION CORP LTD,PERPHENAZINE,PERPHENAZINE,3273,InActive,21/07/1978,Finland,,,,,,,,,
ORCHIMIE SA (PRODUITS CHIMIQUES ET BIOCHIMIQUES),PERPHENAZINE,PERPHENAZINE,6645,InActive,17/10/1986,Gabon,,,,,,,,,
FINE CHEMICALS CORP,PERPHENAZINE,PERPHENAZINE,8556,InActive,25/04/1990,South Africa,,,,,,,,,
ORION CORP LTD,PENTOXIFYLLINE,PENTOXIFYLLINE,7703,InActive,04/10/1988,Finland,,,,,,,,,
JOHNSON MATTHEY INC,PENTAMIDINE GLUCONATE,PENTAMIDINE,7986,InActive,22/03/1989,United Kingdom,,,,,,,,,
PHARM ECO LABORATORIES INC,2-AMINO-5-PHENYL-4(5H)-OXAZOLONE-(PEMOLINE),PEMOLINE,12449,InActive,03/04/1997,U.S.A,,,,,,,,,
INTERQUIM SA,SODIUM CITICOLINE,Citicoline Sodium,12696,InActive,15/10/1997,Spain,,,,,,,,,
INTERQUIM SA,CITICOLINE MONOSODIM SALT,CITICOLINE MONOSODIM SALT,15493,InActive,18/06/2001,Spain,,,,,,,,,
ADARE PHARMACEUTICALS INC,"TENOFOVIR RAPIDLY DISINTEGRATING TABLETS, 40 MG",Tenofovir,26160,InActive,11/06/2012,U.S.A,,,,,,,,,
WISCONSIN ANALYTICAL AND RESEARCH SERVICES LTD,DETERMINATION OF OXAZEPAM IN HUMAN PLASMA,OXAZEPAM,7317,InActive,04/02/1988,Gabon,,,,,,,,,
DSM PHARMA CHEMICALS SOUTH HAVEN INC,OXAPROZIN,OXAPROZIN,11156,InActive,24/10/1994,Netherlands,,,,,,,,,
MEDICHEM SA,OXAPROZIN,Oxaprozin,11862,InActive,08/02/1996,Spain,,,,,,,,,
IOL CHEMICALS AND PHARMACEUTICALS LTD,OMEPRAZOLE,OMEPRAZOLE,26262,InActive,25/07/2012,India,R0-CEP 2012-065 - Rev 03,07/05/2014,Withdrawn by Holder,31/01/2017,Chemical,,,,
NORAMCO INC,OFLOXACIN,OFLOXACIN,10922,InActive,25/05/1994,U.S.A,,,,,,,,,
JOHNSON MATTHEY INC,AUROTHIOGLUCOSE,AUROTHIOGLUCOSE,10224,InActive,05/05/1993,United Kingdom,,,,,,,,,
VICTOR M HERMELIN CO DIV K-V PHARMACAL CO,NITROGLYCERIN,NITROGLYCERIN,978,InActive,13/07/1966,Gabon,,,,,,,,,
VICTOR M HERMELIN CO DIV K-V PHARMACAL CO,NITORA (NITROGLYCERIN) 2.5MG SUSTAINED RELEASE CAPSULES,Nitroglycerin,1588,InActive,05/10/1970,Gabon,,,,,,,,,
DR. KARL JOHN KARNAKY,"STILBESTROL, INJ. & TABLETS",STILBESTROL,39,InActive,06/06/1947,Gabon,,,,,,,,,
IOWA STATE COLLEGE,DIETHYLSTILBESTROL AS A CATTLE FEED ADDITIVE,DIETHYLSTILBESTROL,148,InActive,01/01/1940,Gabon,,,,,,,,,
COLORADO AGRICULTURAL & MECHANICAL COLLEGE,DIETHYLSTILBESTROL IN CATTLE FEEDS --SAFETY OF USE OF,DIETHYLSTILBESTROL,189,InActive,01/01/1940,Gabon,,,,,,,,,
